iter	Passed	Remaining
166	1340	6686
167	1348	6680
168	1355	6664
169	1362	6651
170	1368	6636
171	1375	6621
172	1382	6608
173	1388	6593
174	1395	6580
175	1402	6566
176	1409	6552
177	1415	6538
178	1422	6526
179	1430	6515
180	1436	6499
181	1443	6485
182	1449	6471
183	1456	6457
184	1463	6448
185	1470	6435
186	1478	6425
187	1484	6411
188	1491	6399
189	1498	6386
190	1504	6372
191	1512	6363
192	1518	6349
193	1525	6338
194	1532	6324
195	1538	6310
196	1545	6301
197	1552	6287
198	1559	6276
199	1565	6263
200	1573	6253
201	1580	6244
202	1588	6234
203	1595	6227
204	1603	6218
205	1611	6211
206	1618	6201
207	1626	6193
208	1633	6181
209	1640	6171
210	1648	6162
211	1655	6153
212	1663	6145
213	1671	6140
214	1680	6134
215	1687	6126
216	1696	6120
217	1703	6112
218	1710	6100
219	1717	6090
220	1725	6083
221	1732	6071
222	1739	6061
223	1746	6049
224	1752	6037
225	1759	6026
226	1766	6014
227	1773	6005
228	1780	5993
229	1792	6001
230	1799	5989
231	1806	5979
232	1812	5967
233	1819	5956
234	1826	5944
235	1832	5932
236	1840	5925
237	1847	5915
238	1855	5907
239	1861	5895
240	1869	5886
241	1876	5876
242	1882	5865
243	1889	5855
244	1896	5845
245	1904	5837
246	1911	5827
247	1919	5819
248	1926	5810
249	1934	5803
250	1941	5793
251	1948	5785
252	1956	5776
253	1963	5766
254	1971	5759
255	1978	5749
256	1986	5742
257	1993	5731
258	2000	5723
259	2007	5713
260	2013	5701
261	2021	5694
262	2027	5682
263	2035	5674
264	2042	5664
265	2049	5654
266	2056	5644
267	2062	5634
268	2070	5627
269	2077	5617
270	2085	5610
271	2092	5600
272	2100	5592
273	2107	5582
274	2114	5574
275	2122	5566
276	2129	5557
277	2137	5550
278	2144	5540
279	2152	5535
280	2159	5525
281	2168	5520
282	2175	5510
283	2183	5504
284	2190	5495
285	2198	5487
286	2205	5478
287	2212	5470
288	2220	5461
289	2226	5450
290	2234	5443
291	2241	5434
292	2248	5426
293	2255	5417
294	2263	5408
295	2269	5397
296	2276	5387
297	2283	5379
298	2290	5369
299	2298	5362
300	2304	5352
301	2313	5346
302	2320	5338
303	2329	5332
304	2339	5330
305	2349	5327
306	2360	5328
307	2368	5321
308	2377	5316
309	2387	5313
310	2398	5312
311	2406	5306
312	2416	5303
313	2424	5296
314	2433	5291
315	2442	5287
316	2450	5278
317	2460	5276
318	2468	5268
319	2476	5262
320	2484	5254
321	2492	5247
322	2499	5238
323	2507	5232
324	2516	5227
325	2525	5221
326	2567	5284
327	2587	5300
328	2598	5300
329	2612	5304
330	2625	5306
331	2644	5319
332	2658	5324
333	2673	5331
334	2683	5327
335	2694	5324
336	2703	5318
337	2715	5318
338	2727	5318
339	2737	5314
340	2748	5310
341	2758	5307
342	2770	5305
343	2780	5302
344	2792	5301
345	2800	5293
346	2821	5310
347	2847	5334
348	2856	5329
349	2865	5322
350	2875	5315
351	2885	5311
352	2897	5309
353	2907	5306
354	2919	5303
355	2947	5332
356	2973	5354
357	2984	5352
358	2993	5344
359	3002	5336
360	3010	5329
361	3019	5321
362	3027	5313
363	3037	5306
364	3045	5298
365	3055	5292
366	3063	5283
367	3072	5276
368	3080	5268
369	3091	5263
370	3103	5261
371	3115	5259
372	3124	5251
373	3134	5245
374	3143	5238
375	3155	5235
376	3167	5234
377	3185	5241
378	3194	5233
379	3205	5229
380	3213	5221
381	3223	5214
382	3233	5208
383	3242	5202
384	3257	5202
385	3267	5197
386	3284	5202
387	3299	5203
388	3309	5198
389	3323	5199
390	3334	5193
391	3343	5185
392	3352	5178
393	3363	5172
394	3372	5165
395	3400	5186
396	3419	5194
397	3429	5187
398	3447	5192
399	3463	5195
400	3479	5197
401	3488	5189
402	3502	5187
403	3516	5187
404	3526	5180
405	3538	5177
406	3548	5170
407	3559	5164
408	3570	5158
409	3583	5156
410	3593	5150
411	3601	5140
412	3610	5131
413	3619	5123
414	3628	5115
415	3637	5106
416	3647	5099
417	3656	5091
418	3665	5082
419	3674	5074
420	3683	5066
421	3693	5058
422	3701	5048
423	3709	5039
424	3718	5031
425	3728	5023
426	3737	5014
427	3746	5007
428	3756	4999
429	3765	4991
430	3777	4987
431	3786	4978
432	3794	4968
433	3802	4958
434	3810	4948
435	3818	4939
436	3825	4928
437	3833	4918
438	3841	4908
439	3848	4897
440	3855	4887
441	3863	4877
442	3870	4866
443	3878	4856
444	3885	4845
445	3892	4835
446	3900	4825
447	3907	4815
448	3915	4804
449	3922	4794
450	3930	4784
451	3937	4774
452	3945	4764
453	3952	4753
454	3959	4743
455	3967	4732
456	3974	4722
457	3982	4712
458	3990	4702
459	3998	4693
460	4006	4684
461	4014	4674
462	4021	4664
463	4028	4654
464	4035	4643
465	4042	4632
466	4049	4621
467	4056	4611
468	4063	4600
469	4070	4590
470	4076	4578
471	4083	4568
472	4090	4557
473	4096	4546
474	4103	4535
475	4109	4524
476	4116	4513
477	4122	4502
478	4129	4491
479	4136	4480
480	4142	4469
481	4149	4458
482	4155	4448
483	4161	4437
484	4168	4426
485	4175	4416
486	4182	4405
487	4189	4395
488	4195	4384
489	4203	4374
490	4209	4364
491	4216	4353
492	4223	4343
493	4229	4332
494	4236	4322
495	4242	4311
496	4249	4300
497	4256	4291
498	4263	4280
499	4270	4270
500	4276	4259
501	4283	4249
502	4289	4238
503	4296	4228
504	4303	4218
505	4310	4208
506	4317	4198
507	4324	4188
508	4331	4178
509	4338	4168
510	4345	4158
511	4352	4148
512	4358	4137
513	4365	4127
514	4371	4117
515	4378	4106
516	4385	4096
517	4391	4086
518	4398	4076
519	4404	4065
520	4411	4056
521	4417	4045
522	4424	4035
523	4431	4025
524	4437	4015
525	4444	4005
526	4450	3994
527	4457	3984
528	4464	3975
529	4470	3964
530	4477	3954
531	4483	3944
532	4489	3933
533	4496	3923
534	4504	3914
535	4511	3905
536	4518	3895
537	4525	3886
538	4533	3877
539	4541	3869
540	4551	3861
541	4558	3851
542	4566	3842
543	4573	3833
544	4581	3824
545	4590	3816
546	4601	3810
547	4612	3804
548	4622	3797
549	4632	3789
550	4640	3781
551	4649	3773
552	4676	3780
553	4700	3783
554	4713	3779
555	4725	3773
556	4758	3784
557	4768	3777
558	4779	3770
559	4789	3763
560	4798	3754
561	4807	3747
562	4816	3738
563	4825	3730
564	4833	3721
565	4840	3711
566	4849	3703
567	4860	3696
568	4890	3704
569	4900	3696
570	4912	3690
571	4932	3690
572	4949	3688
573	4961	3682
574	4971	3674
575	4979	3665
576	4988	3657
577	5039	3679
578	5058	3678
579	5072	3672
580	5081	3664
581	5091	3656
582	5101	3649
583	5111	3641
584	5120	3632
585	5130	3624
586	5143	3618
587	5155	3612
588	5165	3604
589	5174	3595
590	5184	3587
591	5193	3579
592	5201	3570
593	5211	3561
594	5220	3553
595	5229	3544
596	5237	3535
597	5245	3526
598	5254	3517
599	5262	3508
600	5269	3498
601	5277	3488
602	5285	3479
603	5292	3470
604	5300	3460
605	5308	3451
606	5316	3442
607	5324	3433
608	5334	3424
609	5342	3415
610	5350	3406
611	5358	3397
612	5367	3388
613	5375	3379
614	5383	3370
615	5393	3361
616	5401	3353
617	5410	3344
618	5419	3335
619	5427	3326
620	5436	3317
621	5445	3309
622	5455	3301
623	5467	3294
624	5480	3288
625	5489	3279
626	5497	3270
627	5506	3261
628	5515	3253
629	5524	3244
630	5533	3236
631	5542	3227
632	5551	3218
633	5560	3209
634	5569	3201
635	5578	3192
636	5588	3184
637	5598	3176
638	5607	3167
639	5621	3161
640	5629	3152
641	5639	3144
642	5651	3137
643	5660	3128
644	5670	3121
645	5694	3120
646	5703	3111
647	5713	3103
648	5721	3094
649	5731	3085
650	5739	3076
651	5750	3069
652	5761	3061
653	5769	3052
654	5779	3044
655	5789	3036
656	5799	3027
657	5807	3018
658	5815	3009
659	5825	3000
660	5834	2992
661	5843	2983
662	5856	2976
663	5864	2967
664	5873	2958
665	5881	2949
666	5891	2941
667	5899	2932
668	5908	2923
669	5916	2914
670	5925	2905
671	5934	2896
672	5943	2887
673	5952	2879
674	5961	2870
675	5970	2861
676	5979	2852
677	5990	2845
678	6000	2836
679	6012	2829
680	6021	2820
681	6032	2812
682	6042	2804
683	6051	2795
684	6060	2786
685	6070	2778
686	6080	2770
687	6090	2761
688	6100	2753
689	6111	2745
690	6121	2737
691	6130	2728
692	6138	2719
693	6147	2710
694	6156	2701
695	6165	2693
696	6175	2684
697	6186	2676
698	6210	2674
699	6221	2666
700	6233	2658
701	6244	2650
702	6255	2642
703	6267	2635
704	6277	2626
705	6290	2619
706	6302	2612
707	6312	2603
708	6322	2595
709	6332	2586
710	6341	2577
711	6351	2569
712	6360	2560
713	6369	2551
714	6377	2542
715	6387	2533
716	6395	2524
717	6403	2515
718	6412	2506
719	6420	2497
720	6428	2487
721	6437	2478
722	6445	2469
723	6453	2460
724	6461	2450
725	6469	2441
726	6477	2432
727	6487	2423
728	6497	2415
729	6507	2407
730	6517	2398
731	6526	2389
732	6536	2380
733	6544	2371
734	6553	2362
735	6565	2354
736	6575	2346
737	6584	2337
738	6595	2329
739	6612	2323
740	6633	2318
741	6648	2311
742	6660	2303
743	6673	2296
744	6687	2288
745	6700	2281
746	6711	2273
747	6720	2264
748	6734	2256
749	6748	2249
750	6773	2245
751	6785	2237
752	6799	2230
753	6811	2222
754	6824	2214
755	6834	2205
756	6846	2197
757	6858	2189
758	6867	2180
759	6878	2172
760	6887	2162
761	6898	2154
762	6912	2147
763	6926	2139
764	6936	2130
765	6945	2121
766	6955	2112
767	6966	2104
768	6977	2095
769	6986	2086
770	6996	2077
771	7006	2069
772	7018	2061
773	7028	2052
774	7037	2043
775	7045	2033
776	7052	2024
777	7064	2015
778	7073	2006
779	7082	1997
780	7094	1989
781	7104	1980
782	7116	1972
783	7134	1965
784	7146	1957
785	7157	1948
786	7166	1939
787	7176	1930
788	7187	1922
789	7199	1913
790	7208	1904
791	7216	1895
792	7226	1886
793	7235	1877
794	7245	1868
795	7253	1859
796	7261	1849
797	7269	1840
798	7277	1830
799	7284	1821
800	7292	1811
801	7299	1802
802	7309	1793
803	7316	1783
804	7324	1774
805	7331	1764
806	7340	1755
807	7348	1746
808	7356	1736
809	7363	1727
810	7373	1718
811	7381	1708
812	7389	1699
813	7396	1690
814	7403	1680
815	7410	1671
816	7418	1661
817	7426	1652
818	7434	1643
819	7441	1633
820	7449	1624
821	7456	1614
822	7463	1605
823	7470	1595
824	7478	1586
825	7485	1576
826	7493	1567
827	7501	1558
828	7509	1548
829	7517	1539
830	7525	1530
831	7533	1521
832	7540	1511
833	7548	1502
834	7556	1493
835	7564	1483
836	7572	1474
837	7582	1465
838	7591	1456
839	7599	1447
840	7606	1438
841	7614	1428
842	7621	1419
843	7628	1410
844	7636	1400
845	7644	1391
846	7652	1382
847	7660	1373
848	7667	1363
849	7675	1354
850	7685	1345
851	7692	1336
852	7700	1327
853	7707	1317
854	7714	1308
855	7721	1298
856	7728	1289
857	7734	1280
858	7741	1270
859	7748	1261
860	7755	1251
861	7762	1242
862	7770	1233
863	7779	1224
864	7786	1215
865	7794	1206
866	7802	1196
867	7810	1187
868	7817	1178
869	7826	1169
870	7833	1160
871	7839	1150
872	7845	1141
873	7852	1132
874	7861	1123
875	7870	1114
876	7879	1105
877	7888	1096
878	7907	1088
879	7915	1079
880	7924	1070
881	7933	1061
882	7940	1052
883	7947	1042
884	7954	1033
885	7961	1024
886	7969	1015
887	7976	1006
888	7983	996
889	7990	987
890	7997	978
891	8005	969
892	8012	960
893	8019	950
894	8027	941
895	8034	932
896	8043	923
897	8051	914
898	8058	905
899	8065	896
900	8072	886
901	8079	877
902	8086	868
903	8093	859
904	8100	850
905	8108	841
906	8115	832
907	8124	823
908	8132	814
909	8142	805
910	8149	796
911	8159	787
912	8167	778
913	8175	769
914	8183	760
915	8193	751
916	8202	742
917	8210	733
918	8219	724
919	8227	715
920	8234	706
921	8241	697
922	8248	688
923	8256	679
924	8263	670
925	8270	660
926	8278	651
927	8285	642
928	8291	633
929	8298	624
930	8307	615
931	8314	606
932	8321	597
933	8329	588
934	8337	579
935	8345	570
936	8352	561
937	8358	552
938	8365	543
939	8374	534
940	8381	525
941	8388	516
942	8395	507
943	8402	498
944	8408	489
945	8416	480
946	8423	471
947	8432	462
948	8441	453
949	8448	444
950	8455	435
951	8463	426
952	8472	417
953	8479	408
954	8487	399
955	8496	391
956	8503	382
957	8510	373
958	8518	364
959	8527	355
960	8543	346
961	8554	337
962	8564	329
963	8574	320
964	8583	311
965	8591	302
966	8601	293
967	8610	284
968	8630	276
969	8640	267
970	8651	258
971	8659	249
972	8668	240
973	8678	231
974	8698	223
975	8711	214
976	8721	205
977	8735	196
978	8765	188
979	8795	179
980	8836	171
981	8850	162
982	8883	153
983	8903	144
984	8918	135
985	8951	127
986	8997	118
987	9023	109
988	9037	100
989	9068	91
990	9087	82
991	9099	73
992	9120	64
993	9157	55
994	9177	46
995	9203	36
996	9293	27
997	9345	18
998	9361	9
999	9386	0
